"","StudyVersion","SubjID","DataID","QuestionNum","PlayerColor","Question","Response","CodeQ","CodeQNum","DW","JT","Notes","DW.maybe"
"132","pilot Zoom (2021)",26,"visitor-rf297",3,"blue","Let's say you shook the box and got this. What would you do, if you wanted to trick the other player?","i would do all blue","1 to 6 marbles for themselve","3",NA,"6",NA,NA
"133","pilot Zoom (2021)",26,"visitor-rf298",4,"blue","Let's say you shook the box and got this. What would you do, if you wanted to be nice to the other player?","i would be a true. i would choose the three blue and three reds.","1 to 6 marbles for themselves","4","3","3",NA,FALSE
"134","pilot Zoom (2021)",27,"visitor-6dtte",1,"blue","Which one of these sets of marbles do you think is a trick?","the one with 6 red marbles and no blue marbles","All one color vs Half","1a","all one color","all one color",NA,FALSE
"135","pilot Zoom (2021)",27,"visitor-6dtte",1,"blue","Why do you think that one is a trick?","the one with 6 red marbles and no blue marbles","My points? Y vs N","1c",NA,"n",NA,NA
"136","pilot Zoom (2021)",27,"visitor-6dtte",1,"blue","Why do you think that one is a trick?","the one with 6 red marbles and no blue marbles","Opponent’s points? Y vs N","1d",NA,"n",NA,NA
"137","pilot Zoom (2021)",27,"visitor-6dtte",1,"blue","Why do you think that one is a trick?","the one with 6 red marbles and no blue marbles","Plausibility? Y vs N","1b",NA,"n",NA,NA
"138","pilot Zoom (2021)",27,"visitor-6dtte",2,"blue","When you shook the box and got no (color) marbles, what would you say to the other player?","6 red marbles because they match","2 to 6 marbles for themselves","2a","0","0","Answered trick at first. I repeated the question and he responded with one of the marble sets.",FALSE
"139","pilot Zoom (2021)",27,"visitor-6dtte",2,"blue","Why would you say that?","10 red marbles because they match","Tricking for the sake of it (not paying attention to points)? Y vs N","2e",NA,"y",NA,NA
"140","pilot Zoom (2021)",27,"visitor-6dtte",2,"blue","Why would you say that?","6 red marbles because they match","My points? Y vs N","2c",NA,"n",NA,NA
"141","pilot Zoom (2021)",27,"visitor-6dtte",2,"blue","Why would you say that?","6 red marbles because they match","Opponent’s points? Y vs N","2d",NA,"n",NA,NA
"142","pilot Zoom (2021)",27,"visitor-6dtte",2,"blue","Why would you say that?","6 red marbles because they match","Plausibility? Y vs N","2b",NA,"n",NA,NA
"143","pilot Zoom (2021)",27,"visitor-6dtte",2,"blue","Why would you say that?",NA,"My points? Y vs N","2c",NA,NA,NA,NA
"144","pilot Zoom (2021)",27,"visitor-6dtte",2,"blue","Why would you say that?",NA,"Opponent’s points? Y vs N","2d",NA,NA,NA,NA
"145","pilot Zoom (2021)",27,"visitor-6dtte",2,"blue","Why would you say that?",NA,"Plausibility? Y vs N","2b",NA,NA,NA,NA
"146","pilot Zoom (2021)",27,"visitor-6dtte",2,"blue","Why would you say that?",NA,"Tricking for the sake of it (not paying attention to points)? Y vs N","2e",NA,NA,NA,NA
"147","pilot Zoom (2021)",27,"visitor-6dtte",3,"blue","Let's say you shook the box and got this. What would you do, if you wanted to trick the other player?","first said true; then said 3 red marbles and 3 blue marbles","2 to 6 marbles for themselve","3","3","3",NA,FALSE
"148","pilot Zoom (2021)",27,"visitor-6dtte",4,"blue","Let's say you shook the box and got this. What would you do, if you wanted to be nice to the other player?","3 red marbles and then 3 blue marbles","2 to 6 marbles for themselves","4","3","3","I asked the participant to clarify what a true was.",FALSE
"149","pilot Zoom (2021)",28,"visitor-rg8j1",1,"blue","Which one of these sets of marbles do you think is a trick?","all red is a trick because they had more red marbles than she did","All one color vs Half","1a","all one color","all one color","not able to read, so she was confused many times",FALSE
"150","pilot Zoom (2021)",28,"visitor-rg8j1",1,"blue","Why do you think that one is a trick?","all red is a trick because they had more red marbles than she did","My points? Y vs N","1c","y","n","not able to read, so she was confused many times",FALSE
"151","pilot Zoom (2021)",28,"visitor-rg8j1",1,"blue","Why do you think that one is a trick?","all red is a trick because they had more red marbles than she did","Opponent’s points? Y vs N","1d","y","y","not able to read, so she was confused many times",FALSE
"152","pilot Zoom (2021)",28,"visitor-rg8j1",1,"blue","Why do you think that one is a trick?","all red is a trick because they had more red marbles than she did","Plausibility? Y vs N","1b","n","n","not able to read, so she was confused many times",FALSE
"153","pilot Zoom (2021)",28,"visitor-rg8j2",2,"blue","When you shook the box and got no (color) marbles, what would you say to the other player?","2 blue marbles and 4 red marbles to trick the other player","3 to 6 marbles for themselves","2a","2","2",NA,FALSE
"154","pilot Zoom (2021)",28,"visitor-rg8j2",2,"blue","Why would you say that?","2 blue marbles and 4 red marbles to trick the other player","My points? Y vs N","2c","n","n",NA,FALSE
"155","pilot Zoom (2021)",28,"visitor-rg8j2",2,"blue","Why would you say that?","2 blue marbles and 4 red marbles to trick the other player","Plausibility? Y vs N","2b","n","n",NA,FALSE
"156","pilot Zoom (2021)",28,"visitor-rg8j3",2,"blue","Why would you say that?","3 blue marbles and 4 red marbles to trick the other player","Opponent’s points? Y vs N","2d","n","n",NA,FALSE
"157","pilot Zoom (2021)",28,"visitor-rg8j3",3,"blue","Let's say you shook the box and got this. What would you do, if you wanted to trick the other player?","4 blue marbles and 2 red marbles","3 to 6 marbles for themselve","3","4","4",NA,FALSE
"158","pilot Zoom (2021)",28,"visitor-rg8j4",2,"blue","Why would you say that?","4 blue marbles and 4 red marbles to trick the other player","Tricking for the sake of it (not paying attention to points)? Y vs N","2e","y","y",NA,FALSE
"159","pilot Zoom (2021)",28,"visitor-rg8j4",4,"blue","Let's say you shook the box and got this. What would you do, if you wanted to be nice to the other player?","I would tell them the truth","3 to 6 marbles for themselves","4","3","?",NA,FALSE
"160","pilot Zoom (2021)",29,"visitor-iwrte",1,"blue","Which one of these sets of marbles do you think is a trick?","all the red. because they are tricking us with all the red. it would be three and three","All one color vs Half","1a","all one color","all one color",NA,FALSE
"161","pilot Zoom (2021)",29,"visitor-iwrte",1,"blue","Why do you think that one is a trick?","all the red. because they are tricking us with all the red. it would be three and three","My points? Y vs N","1c","n","n",NA,FALSE
"162","pilot Zoom (2021)",29,"visitor-iwrte",1,"blue","Why do you think that one is a trick?","all the red. because they are tricking us with all the red. it would be three and three","Opponent’s points? Y vs N","1d","n","n",NA,FALSE
"163","pilot Zoom (2021)",29,"visitor-iwrte",1,"blue","Why do you think that one is a trick?","all the red. because they are tricking us with all the red. it would be three and three","Plausibility? Y vs N","1b","y","n",NA,FALSE
"164","pilot Zoom (2021)",29,"visitor-iwrte",2,"blue","When you shook the box and got no (color) marbles, what would you say to the other player?","I got all blue marbles. because it would trick them and they would think it was the truth","4 to 6 marbles for themselves","2a","6","6",NA,FALSE
"165","pilot Zoom (2021)",29,"visitor-iwrte",2,"blue","Why would you say that?","I got all blue marbles. because it would trick them and they would think it was the truth","My points? Y vs N","2c","n","n",NA,FALSE
"166","pilot Zoom (2021)",29,"visitor-iwrte",2,"blue","Why would you say that?","I got all blue marbles. because it would trick them and they would think it was the truth","Opponent’s points? Y vs N","2d","n","n",NA,FALSE
"167","pilot Zoom (2021)",29,"visitor-iwrte",2,"blue","Why would you say that?","I got all blue marbles. because it would trick them and they would think it was the truth","Plausibility? Y vs N","2b","n","n",NA,FALSE
"168","pilot Zoom (2021)",29,"visitor-iwrte",2,"blue","Why would you say that?","I got all blue marbles. because it would trick them and they would think it was the truth","Tricking for the sake of it (not paying attention to points)? Y vs N","2e","y","y",NA,FALSE
"169","pilot Zoom (2021)",29,"visitor-iwrte",3,"blue","Let's say you shook the box and got this. What would you do, if you wanted to trick the other player?","say all red.","4 to 6 marbles for themselve","3","0","0",NA,FALSE
"170","pilot Zoom (2021)",29,"visitor-iwrte",4,"blue","Let's say you shook the box and got this. What would you do, if you wanted to be nice to the other player?","i would the same thing. three red and three blue.","4 to 6 marbles for themselves","4","3","3",NA,FALSE
